RAT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,23,25,16,9,6,1,16,26,24,11,6,1,2,4,13,3,0,11,8,15
2,25,30,26,26,29,2,17,12,12,29,17,8,29,22,18,0,0,28,6,6
3,25,24,20,16,1,1,4,3,2,0,5,5,12,0,1,0,2,10,1,0
4,10,24,17,4,13,17,7,23,29,23,2,6,27,7,15,20,19,27,6,2
5,15,19,11,16,2,5,6,12,3,13,5,4,1,15,14,4,21,6,0,0
6,23,27,21,13,18,12,0,0,28,19,13,4,9,9,9,16,11,13,25,0
7,27,29,22,25,13,23,30,24,12,26,25,25,20,4,26,25,27,20,24,22
8,17,24,8,1,18,0,20,22,18,25,24,5,18,11,2,29,28,18,28,28
9,26,24,18,11,22,8,18,0,16,22,21,1,15,4,5,7,25,15,14,28
10,26,6,15,8,1,18,5,8,7,0,1,5,6,4,4,2,0,0,5,11
11,28,27,13,21,26,4,8,4,20,3,14,18,8,17,27,20,8,13,19,30
,24,29,6,22,26,24,24,2,3,18,13,16,11,19,29,30,29,29,3,0
