RAT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1,3,1,9,28,20,5,12,0,30,23,11,30,28,14,22,28,6,1,9
2,15,17,11,17,9,1,13,21,8,17,27,23,19,29,28,6,9,25,20,0
3,13,2,3,6,15,9,21,20,0,12,23,10,1,22,22,10,0,9,18,2
4,0,0,2,7,0,2,2,1,0,9,28,28,8,22,29,29,24,0,0,27
5,6,3,7,10,1,7,6,5,18,8,22,6,1,24,11,10,23,17,0,25
6,,1,21,2,13,15,3,21,0,0,2,14,29,22,0,10,28,26,0,0
7,5,4,6,6,7,6,8,10,19,23,15,21,7,3,4,5,2,10,4,1
8,0,0,8,0,0,8,1,11,8,7,19,6,28,30,8,4,0,3,28,30
9,5,3,4,1,7,1,3,25,26,12,0,20,5,28,30,30,13,28,21,0
10,6,5,2,9,20,28,28,1,3,28,30,30,30,30,1,9,0,0,0,8
11,0,0,0,1,11,4,9,0,1,0,0,25,19,1,2,0,2,1,2,1
